IMPL,PARAMS,MEAN,SSD,SEM,RSE,CI95LO,CI95UP
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 20000000!N!concurrent_proposals: 100000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 512!N!compression_rate: 0.5!N!preprocessing_time: 5!N!,206597.25060919998,2815.392916051476,890.305412302589,0.004309376865748778,204852.25200108692,208342.24921731304
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 20000000!N!concurrent_proposals: 100000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 512!N!compression_rate: 0.8!N!preprocessing_time: 2!N!,129575.48876589998,822.5031497796069,260.09833359661775,0.002007311228951097,129065.6960320506,130085.28149974936
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 20000000!N!concurrent_proposals: 100000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 512!N!compression_rate: 0.8!N!preprocessing_time: 5!N!,184920.2885952,878.9963298701628,277.9630457318411,0.001503150616103117,184375.4810255656,185465.0961648344
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 20000000!N!concurrent_proposals: 100000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.75!N!data_size: 128!N!compression_rate: 0.5!N!preprocessing_time: 2!N!,88613.6141412,983.440586644334,310.99121972482624,0.003509519645923504,88004.07135053934,89223.15693186066
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 20000000!N!concurrent_proposals: 100000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.75!N!data_size: 128!N!compression_rate: 0.5!N!preprocessing_time: 5!N!,144607.4645365,811.3269711768659,256.56411560446776,0.0017742107326673242,144104.59886991524,145110.33020308474
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 20000000!N!concurrent_proposals: 100000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.75!N!data_size: 128!N!compression_rate: 0.8!N!preprocessing_time: 2!N!,81364.8532087,959.165280401304,303.3146938622183,0.0037278343400217197,80770.35640873006,81959.35000866995
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 20000000!N!concurrent_proposals: 100000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.75!N!data_size: 128!N!compression_rate: 0.8!N!preprocessing_time: 5!N!,134956.75263220002,746.5294244637362,236.07333216400303,0.00174925172367905,134494.04890115856,135419.45636324148
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 20000000!N!concurrent_proposals: 100000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.75!N!data_size: 256!N!compression_rate: 0.5!N!preprocessing_time: 2!N!,104947.3555829,1522.9262772137827,481.5915744516541,0.004588887178498131,104003.43609697475,105891.27506882524
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 20000000!N!concurrent_proposals: 100000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.75!N!data_size: 256!N!compression_rate: 0.5!N!preprocessing_time: 5!N!,160389.8274206,1466.3205795318318,463.69128112986624,0.0028910267476870612,159480.99250958546,161298.66233161453
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 20000000!N!concurrent_proposals: 100000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.75!N!data_size: 256!N!compression_rate: 0.8!N!preprocessing_time: 2!N!,92436.6757237,1252.5256557092503,396.0833899837113,0.004284915991220125,91660.35227933193,93212.99916806807
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 20000000!N!concurrent_proposals: 100000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.75!N!data_size: 256!N!compression_rate: 0.8!N!preprocessing_time: 5!N!,152600.95415950002,1327.5906800984922,419.8210349523207,0.0027511036039363137,151778.10493099346,153423.80338800658
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 20000000!N!concurrent_proposals: 100000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.75!N!data_size: 512!N!compression_rate: 0.5!N!preprocessing_time: 2!N!,135968.3737638,1605.663684021251,507.7554397724061,0.003734364291614335,134973.17310184607,136963.5744257539
